"season","cougar_id","season2","year","tot_kills","propkills_deer","propkills_pig","propkills_other","tot_bio","propbio_deer","propbio_pig","propbio_other"
"summer21","SF01","summer","21",21,0.81,0.048,0.143,448.5,0.871,0.106,0.027
"winter21","SF01","winter","21",3,0.333,0.667,0,82,0.599,0.403,0.001
"summer21","SF09","summer","21",40,0.825,0.025,0.15,1003,0.955,0.028,0.02
"summer22","SF09","summer","22",18,0.778,0.056,0.167,378.5,0.944,0.017,0.042
"summer23","SF09","summer","23",39,0.846,0.051,0.103,867,0.88,0.049,0.074
"winter21","SF09","winter","21",19,0.526,0.421,0.053,614,0.787,0.214,0.002
"winter22","SF09","winter","22",26,0.923,0,0.077,1101,0.96,0.001,0.042
"winter23","SF09","winter","23",20,0.7,0.15,0.15,887,0.698,0.045,0.26
"summer21","SM06","summer","21",17,0.294,0.647,0.059,354,0.32,0.68,0.002
"summer22","SM06","summer","22",16,0.5,0.375,0.125,559,0.396,0.498,0.108
"summer23","SM06","summer","23",20,0.2,0.65,0.15,449.5,0.223,0.512,0.268
"winter21","SM06","winter","21",12,0.167,0.667,0.167,429,0.178,0.355,0.47
"winter22","SM06","winter","22",18,0.167,0.778,0.056,644,0.214,0.757,0.032
"winter23","SM06","winter","23",11,0,0.818,0.182,282,0.001,0.611,0.391
